timestamp,source_port,destination_port,protocol,length,traffic_direction,packet_rate,data_rate,is_encrypted,destination_device,name,malicious,cpu_usage,memory_usage,disk_usage,network_traffic_in,network_traffic_out,risk_score
2024-08-26T12:08:44.000000Z,39906,65085,UDP,1784,inbound,283,95026,False,Windows server,0,0,30.89,39.52,39.65,93,160,1.85
2024-08-26T12:03:53.000000Z,5684,55828,UDP,1222,inbound,89,19109,True,Linux server,0,0,29.57,24.94,39.63,56,213,1.6
2024-08-26T12:06:25.000000Z,40012,50413,UDP,643,inbound,80,13721,False,Linux server,0,0,34.57,10.14,46.09,386,91,1.75
2024-08-26T12:06:34.000000Z,6428,48894,UDP,935,inbound,202,71039,True,Windows server,0,0,38.85,44.98,28.2,157,102,2.15
2024-08-26T12:06:16.000000Z,42456,32371,TCP,1076,outbound,151,31961,False,Windows server,0,0,9.49,45.52,36.22,101,380,1.7
2024-08-26T12:03:18.000000Z,56761,38021,TCP,1160,inbound,249,48946,True,Windows server,0,0,6.41,39.08,6.21,62,176,0.8
2024-08-26T12:08:57.000000Z,27979,26344,TCP,1045,inbound,166,45535,False,Windows server,0,0,32.29,7.62,24.32,127,176,1.35
2024-08-26T12:03:35.000000Z,21559,15192,UDP,651,outbound,54,84489,True,Linux server,0,0,28.1,33.34,26.08,93,399,1.7
2024-08-26T12:07:26.000000Z,4929,36930,UDP,1545,outbound,285,36800,False,Windows server,0,0,7.66,16.14,50.0,306,187,1.2
2024-08-26T12:00:48.000000Z,49817,7569,TCP,925,outbound,57,28031,False,Windows server,0,0,34.24,34.62,45.86,371,250,2.55
2024-08-26T12:06:02.000000Z,12025,13616,TCP,1213,inbound,267,71400,False,Linux server,0,0,20.44,21.03,46.4,336,127,1.9
2024-08-26T12:08:36.000000Z,30804,4738,TCP,770,inbound,197,85855,False,Windows server,0,0,22.54,8.26,9.98,180,118,0.9
2024-08-26T12:00:06.000000Z,6308,56356,TCP,1202,inbound,277,52249,False,Linux server,0,0,28.07,18.96,45.17,249,203,1.9
2024-08-26T12:00:56.000000Z,8626,21100,UDP,1021,outbound,112,79720,True,Linux server,0,0,19.57,27.28,27.22,247,296,1.65
2024-08-26T12:02:38.000000Z,29231,7646,TCP,1427,outbound,277,81507,False,Windows server,0,0,29.25,26.24,30.72,54,327,1.6
2024-08-26T12:00:03.000000Z,56896,34491,UDP,637,outbound,237,39379,True,Linux server,0,0,7.96,26.51,22.24,220,337,1.4
2024-08-26T12:05:02.000000Z,17597,2910,TCP,1722,outbound,138,29650,False,Linux server,0,0,26.54,43.38,33.62,249,217,2.4
2024-08-26T12:06:02.000000Z,16653,29377,TCP,517,outbound,205,95842,True,Windows server,0,0,6.83,42.36,19.08,199,160,1.3
2024-08-26T12:00:45.000000Z,45394,49006,UDP,886,outbound,214,25023,True,Linux server,0,0,13.04,49.49,21.38,173,248,1.85
2024-08-26T12:03:39.000000Z,22093,19699,UDP,1999,outbound,185,33903,True,Windows server,0,0,29.66,38.65,39.36,69,383,1.8
2024-08-26T12:04:51.000000Z,56852,25557,UDP,1213,inbound,217,78142,False,Linux server,0,0,10.25,44.2,20.85,326,170,1.85
2024-08-26T12:06:57.000000Z,1591,60796,TCP,1122,inbound,104,78714,True,Windows server,0,0,10.61,41.34,26.64,111,184,1.65
2024-08-26T12:08:54.000000Z,20291,5319,UDP,1149,inbound,145,95576,True,Linux server,0,0,22.94,18.1,35.8,243,233,1.8
2024-08-26T12:03:10.000000Z,5302,16177,TCP,1641,outbound,91,82191,True,Linux server,0,0,16.92,17.97,17.67,244,380,1.35
2024-08-26T12:00:59.000000Z,52475,24708,UDP,851,inbound,106,16469,False,Linux server,0,0,16.75,16.46,11.41,384,72,0.95
2024-08-26T12:07:41.000000Z,59398,59825,UDP,1534,inbound,195,35130,True,Linux server,0,0,8.27,38.11,8.09,311,79,1.0
2024-08-26T12:05:37.000000Z,45876,57331,TCP,1848,inbound,115,38225,True,Windows server,0,0,22.77,12.34,15.35,119,222,1.4
2024-08-26T12:04:44.000000Z,40339,15615,UDP,1946,inbound,137,35820,True,Linux server,0,0,33.45,26.79,20.76,338,385,2.15
2024-08-26T12:00:38.000000Z,62843,58293,TCP,798,outbound,139,31462,True,Windows server,0,0,39.08,35.38,40.94,385,134,2.35
2024-08-26T12:06:26.000000Z,4748,64804,UDP,1623,inbound,264,24944,False,Windows server,0,0,37.16,18.35,9.82,186,207,1.55
2024-08-26T12:07:52.000000Z,36765,17964,UDP,1302,inbound,208,58086,False,Windows server,0,0,38.32,19.47,37.91,146,355,1.85
2024-08-26T12:09:03.000000Z,41410,54651,TCP,793,inbound,60,46707,False,Linux server,0,0,20.83,31.5,44.34,248,200,2.3
2024-08-26T12:06:01.000000Z,53306,61772,TCP,585,outbound,67,13064,False,Windows server,0,0,14.07,29.49,49.64,307,62,1.45
2024-08-26T12:06:36.000000Z,8916,27238,TCP,1661,inbound,143,83110,True,Linux server,0,0,16.16,32.95,48.24,228,332,2.05
2024-08-26T12:09:19.000000Z,33664,26210,UDP,1366,inbound,62,32456,True,Windows server,0,0,35.06,24.67,40.04,103,194,1.95
2024-08-26T12:07:03.000000Z,18270,32140,UDP,1011,outbound,214,20263,False,Linux server,0,0,5.49,27.23,39.05,357,153,1.3
2024-08-26T12:08:53.000000Z,51504,34019,UDP,1401,outbound,203,91501,True,Windows server,0,0,36.55,16.64,25.13,127,52,1.35
2024-08-26T12:09:13.000000Z,63631,27792,UDP,1685,inbound,160,57533,False,Windows server,0,0,21.36,38.11,39.32,285,321,2.2
